w_llm,model,method,regret,regret_sem,ptrue,ptrue_sem,rule_acc,rule_acc_sem,parse
0.0,DeepSeek-V3.2,live_llm_belief,4.3205001247705495,0.7465158129951377,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_atom_tom0,4.721917922583369,0.3453216820805925,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_atom_tom1,4.713047383324545,0.8512454312724058,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_atom_adaptive_hedge,5.76639624642246,0.749856389213356,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_econ_bne,4.939431063604941,0.5327825396282846,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_pact_plus,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,1.0
0.0,Kimi-K2.6,live_pact,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.0
0.0,Kimi-K2.6,live_joint_psrl,2.1149795277751005,0.37387050826444046,0.43675635003236024,0.09692431183365514,0.8172348060397905,0.047047849059668315,1.0
0.0,Kimi-K2.6,live_map_greedy,2.8811189829916666,0.2392547818257649,0.3675374672278727,0.116296827946915,0.7892737003787519,0.04835452236365914,1.0
0.0,Kimi-K2.6,live_psrl_notype,4.6887228061400625,0.7342174148035762,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_llm_greedy,4.591372966880897,0.452169159322462,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_llm_belief,5.309800264836796,0.7117621523087815,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_atom_tom0,4.925604791962298,0.5434410425633118,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_atom_tom1,4.874478789747622,0.4360531708079052,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_atom_adaptive_hedge,4.27830331565546,0.67288568561003,0.0625,0.0,0.5,0.0,1.0
0.0,Kimi-K2.6,live_econ_bne,4.459047622499446,0.9115176886146255,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,2.1149795277751005,0.37387050826444046,0.43675635003236024,0.09692431183365514,0.8172348060397905,0.047047849059668315,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,2.8811189829916666,0.2392547818257649,0.3675374672278727,0.116296827946915,0.7892737003787519,0.04835452236365914,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,4.6887228061400625,0.7342174148035762,0.0625,0.0,0.5,0.0,0.975
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5.565417879328832,0.5479755920040613,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5.185244836707685,0.2869682960906758,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5.411729384868386,0.6143074891400938,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5.740473589115719,0.8093847580984361,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,4.872002402303105,0.3491486671981822,0.0625,0.0,0.5,0.0,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5.521932290001834,0.3733584861632811,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_pact_plus,1.5447362683248511,0.1982634375656407,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486,1.0
0.02,gpt-5.4-mini-20260317,live_pact,2.208783736354923,0.31973433997523637,0.3610671055664175,0.05304560510398466,0.7837313928980802,0.025956686329308917,1.0
0.02,gpt-5.4-mini-20260317,live_joint_psrl,2.5213051560599897,0.23412861160060824,0.4473077364645082,0.11141268060889949,0.8174096056517712,0.04918948721099095,1.0
0.02,gpt-5.4-mini-20260317,live_map_greedy,2.8595109793603455,0.32657909525909457,0.32303024260823293,0.1194472759203988,0.7758132048275315,0.0499207692354662,1.0
0.02,gpt-5.4-mini-20260317,live_psrl_notype,4.935896780256893,0.6779629559527827,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_llm_greedy,5.2690088318942445,0.4278858041338274,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_llm_belief,5.3874319716760635,0.6307397491288081,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_atom_tom0,5.387993706806218,0.2310926819100165,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_atom_tom1,5.033309207131968,0.30849689678276687,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5.212789114093115,0.43315339391518587,0.0625,0.0,0.5,0.0,1.0
0.02,gpt-5.4-mini-20260317,live_econ_bne,5.40086298669913,0.34255458862057964,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_pact_plus,1.5447362683248511,0.1982634375656407,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486,1.0
0.02,DeepSeek-V3.2,live_pact,2.300340271799696,0.37120666163199506,0.40497016345918074,0.03611111586648229,0.8004124182368388,0.024977043878300968,1.0
0.02,DeepSeek-V3.2,live_joint_psrl,2.3294086783632943,0.6257594798459334,0.37798626688700915,0.10792557776352146,0.805363652887829,0.04889829133965538,1.0
0.02,DeepSeek-V3.2,live_map_greedy,2.8254380449963064,0.2553938450738876,0.40640617716659005,0.10524081311052129,0.8022137987380628,0.04622350926855961,1.0
0.02,DeepSeek-V3.2,live_psrl_notype,4.785763785825127,0.7153675518525755,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_llm_greedy,4.419324379250083,0.5146101004567383,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_llm_belief,4.3205001247705495,0.7465158129951377,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_atom_tom0,4.721917922583369,0.3453216820805925,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_atom_tom1,4.713047383324545,0.8512454312724058,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_atom_adaptive_hedge,5.76639624642246,0.749856389213356,0.0625,0.0,0.5,0.0,1.0
0.02,DeepSeek-V3.2,live_econ_bne,4.939431063604941,0.5327825396282846,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_pact_plus,1.7118523473344787,0.21373723846284085,0.2931930182977579,0.04544842056123766,0.740655224808523,0.0227528140778543,1.0
0.02,Kimi-K2.6,live_pact,2.123430603280313,0.29775684952689907,0.3929163951214966,0.03612792159914815,0.7898084502104104,0.024176747283372206,1.0
0.02,Kimi-K2.6,live_joint_psrl,2.542618750423016,0.07682303902008457,0.4550511247558795,0.07278665641091474,0.8414691272535324,0.02567344616840379,1.0
0.02,Kimi-K2.6,live_map_greedy,2.6886352465475656,0.3934473048406319,0.3750608488370565,0.11464088336053775,0.7863356560243372,0.050747200318461395,1.0
0.02,Kimi-K2.6,live_psrl_notype,4.697973673881678,0.8345002754880845,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_llm_greedy,4.591372966880897,0.452169159322462,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_llm_belief,5.309800264836796,0.7117621523087815,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_atom_tom0,4.925604791962298,0.5434410425633118,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_atom_tom1,4.874478789747622,0.4360531708079052,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_atom_adaptive_hedge,4.27830331565546,0.67288568561003,0.0625,0.0,0.5,0.0,1.0
0.02,Kimi-K2.6,live_econ_bne,4.459047622499446,0.9115176886146255,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,1.7182416505131957,0.32103799326804383,0.29084514170020587,0.060603303960978724,0.7478265177573471,0.031679770330923715,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,2.2685494455414026,0.3020275829501491,0.32304368310482307,0.06938946638806667,0.7678579017234171,0.03063596864291093,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,2.7655975311651337,0.2922475515293757,0.5717166067451289,0.0756439439028525,0.865391205829064,0.027764458477027028,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,2.589133186655592,0.35518363247196033,0.3955546410888246,0.07042391839784817,0.7868615136152259,0.02740479090774232,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,5.0392674097569365,0.7786730025328422,0.0625,0.0,0.5,0.0,0.975
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5.565417879328832,0.5479755920040613,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5.185244836707685,0.2869682960906758,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5.411729384868386,0.6143074891400938,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5.740473589115719,0.8093847580984361,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,4.872002402303105,0.3491486671981822,0.0625,0.0,0.5,0.0,1.0
0.02,Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5.521932290001834,0.3733584861632811,0.0625,0.0,0.5,0.0,1.0
