backbone,substrate,method,seed,agent_idx,episode_k,posterior_entropy,posterior_parsed,theta_space_size
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,0,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,1,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90001,2,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,0,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,1,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90002,2,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,0,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,1,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90003,2,20,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,19,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,0,20,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,1,20,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90004,2,20,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,1,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,1,1,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,2,1,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,1,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,2,2,1.386294,0,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_belief,100000,0,6,0.253446,1,4
