method,backbone,substrate,seed,agent_idx,episode_k,theta_star,kl_to_truth,posterior_parsed
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,6,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,6,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,6,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,7,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,7,1,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,7,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,8,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,8,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,8,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,9,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,9,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,9,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,10,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,10,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,10,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,11,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,11,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,11,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,12,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,12,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,12,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,13,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,13,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,13,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,14,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,14,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,14,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,15,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,15,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,15,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,16,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,16,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,16,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,17,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,17,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,17,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,18,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,18,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,18,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,19,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,19,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,19,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,20,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,20,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,20,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,1,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,1,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,2,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,2,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,2,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,3,1,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,3,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,4,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,4,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,5,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,5,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,6,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,6,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,7,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,7,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,8,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,8,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,9,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,9,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,10,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,10,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,11,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,11,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,12,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,12,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,13,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,13,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,14,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,14,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,15,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,15,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,16,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,16,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,17,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,17,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,18,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,18,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,19,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,19,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,0,20,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,1,20,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90002,2,20,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,2,3,1.386294,0
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,2,3,1.386294,0
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,2,3,1.386294,0
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,0,20,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,1,20,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90003,2,20,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,1,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,1,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,2,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,2,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,2,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,3,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,3,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,4,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,4,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,5,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,5,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,6,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,6,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,7,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,7,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,8,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,8,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,9,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,9,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,10,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,10,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,11,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,11,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,12,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,12,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,13,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,13,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,14,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,14,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,15,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,15,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,16,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,16,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,17,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,17,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,18,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,18,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,19,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,19,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,0,20,0,1.386294,0
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,1,20,2,1.386294,0
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90004,2,20,3,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,1,0,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,1,1,0,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,2,1,1,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,2,0,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,1,2,0,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,2,2,1,1.386294,0
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,3,0,0.051293,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,1,3,0,0.051293,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,2,3,1,4.094345,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,4,0,0.051293,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,1,4,0,4.094345,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,2,4,1,4.094345,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,5,0,0.051293,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,1,5,0,4.094345,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,2,5,1,4.094345,1
llm_belief,DeepSeek-V3.2,hpspgg_c19,100000,0,6,0,4.094345,1
