variant,scenario,seed,utility,rejects,wait,served,llm_calls,cache_hits
llm_belief,stress_p5,3,-6.360000000000001,7,82.4,15,20,20
llm_belief,stress_p5,4,-8.570000000000002,7,122.3125,16,20,20
llm_psrl,stress_p5,0,2.0800000000000005,7,89.05263157894737,19,20,20
llm_psrl,stress_p5,1,36.28,2,66.9090909090909,22,20,3
llm_psrl,stress_p5,2,44.150000000000006,2,78.26923076923077,26,20,0
llm_psrl,stress_p5,3,-6.54,7,83.6,15,20,0
llm_psrl,stress_p5,4,-8.460000000000003,7,121.625,16,20,0
nearest,stress_p5,0,-3.970000000000004,8,83.16666666666667,18,0,0
nearest,stress_p5,1,31.340000000000003,3,55.523809523809526,21,0,0
nearest,stress_p5,2,50.08000000000001,2,76.5,28,0,0
nearest,stress_p5,3,-6.030000000000001,7,80.2,15,0,0
nearest,stress_p5,4,-7.919999999999998,7,118.25,16,0,0
oracle,stress_p5,0,34.91,0,95.45,20,0,0
oracle,stress_p5,1,44.839999999999996,0,55.523809523809526,21,0,0
oracle,stress_p5,2,51.000000000000014,2,73.21428571428571,28,0,0
oracle,stress_p5,3,27.310000000000002,0,85.5625,16,0,0
oracle,stress_p5,4,24.159999999999997,0,140.77777777777777,18,0,0
random,stress_p5,0,-16.19,7,141.26666666666668,15,0,0
random,stress_p5,1,-19.23,8,108.78571428571429,14,0,0
random,stress_p5,2,-27.420000000000005,10,130.75,16,0,0
random,stress_p5,3,-16.56,6,168.28571428571428,14,0,0
random,stress_p5,4,-56.18000000000001,13,174.22222222222223,9,0,0
